,PC1,PC2,Treatment,People,Group,Phase,Timepoint,Description,Env,is_MT10
MTB10T25,-0.13401409154861862,0.08406892734156526,MTB,MT10,MTB,T6,25.0,MT10,root:China:T6,True
MTB2T21,-0.024367720279892435,0.023634829574471373,MTB,MT2,MTB,T5,21.0,MT2,root:China:T5,False
MTB2T22,-0.14771660316622817,-0.08916708089047376,MTB,MT2,MTB,T5,22.0,MT2,root:China:T5,False
MTB2T23,-0.05339037725500361,-0.036368413845132286,MTB,MT2,MTB,T5,23.0,MT2,root:China:T5,False
MTB2T24,-0.062456454864138894,-0.03216674898643436,MTB,MT2,MTB,T5,24.0,MT2,root:China:T5,False
MTB2T25,-0.1453936029439226,0.012321260419575646,MTB,MT2,MTB,T6,25.0,MT2,root:China:T6,False
MTB3T21,-0.09860512274373974,-0.03622872447023103,MTB,MT3,MTB,T5,21.0,MT3,root:China:T5,False
MTB3T22,-0.134219599291658,-0.07035028918052615,MTB,MT3,MTB,T5,22.0,MT3,root:China:T5,False
MTB3T23,-0.15164761654712253,-0.08413807016415521,MTB,MT3,MTB,T5,23.0,MT3,root:China:T5,False
MTB3T24,-0.1352390114264232,-0.086896973856178,MTB,MT3,MTB,T5,24.0,MT3,root:China:T5,False
MTB3T25,-0.15092731102809373,-0.10637248421181186,MTB,MT3,MTB,T6,25.0,MT3,root:China:T6,False
MTB4T21,-0.21829290669679788,-0.06672041674828015,MTB,MT4,MTB,T5,21.0,MT4,root:China:T5,False
MTB4T22,-0.23151086733681978,-0.030761745647064593,MTB,MT4,MTB,T5,22.0,MT4,root:China:T5,False
MTB4T23,-0.19658699983471048,0.019369027707492856,MTB,MT4,MTB,T5,23.0,MT4,root:China:T5,False
MTB4T24,-0.21792591268663722,-0.06869129644197206,MTB,MT4,MTB,T5,24.0,MT4,root:China:T5,False
MTB4T25,-0.20751539934416524,-0.014085148058502904,MTB,MT4,MTB,T6,25.0,MT4,root:China:T6,False
MTB5T21,-0.1508397380851256,0.15612009865841545,MTB,MT5,MTB,T5,21.0,MT5,root:China:T5,False
MTB5T22,-0.12208271471803381,0.1464398909780627,MTB,MT5,MTB,T5,22.0,MT5,root:China:T5,False
MTB5T23,-0.11959179080212617,0.15014652979568666,MTB,MT5,MTB,T5,23.0,MT5,root:China:T5,False
MTB5T24,-0.14494136999094465,0.1444009314059385,MTB,MT5,MTB,T5,24.0,MT5,root:China:T5,False
MTB5T25,-0.16852533008608217,0.172047555118507,MTB,MT5,MTB,T6,25.0,MT5,root:China:T6,False
MTB6T21,-0.1874333342265934,-0.15494149772203178,MTB,MT6,MTB,T5,21.0,MT6,root:China:T5,False
MTB6T22,-0.19116676501098587,-0.12687867151776644,MTB,MT6,MTB,T5,22.0,MT6,root:China:T5,False
MTB6T23,-0.1816282016417025,-0.12563955507517885,MTB,MT6,MTB,T5,23.0,MT6,root:China:T5,False
MTB6T24,-0.18495510597732662,-0.1272895415120262,MTB,MT6,MTB,T5,24.0,MT6,root:China:T5,False
MTB6T25,0.00789774967619981,-0.06740555430232004,MTB,MT6,MTB,T6,25.0,MT6,root:China:T6,False
